                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6624,                  2.579,                 1.3677,                0.61008,                0.29362,                0.29851,                0.17922,                 1.3331,                  1.696,                 1.1902,             0.00047447,             0.00047447,             0.00047447
                      1,                 1.3877,                 1.6784,                  1.184,                0.72397,                0.42213,                0.41134,                 0.2438,                  1.324,                 1.5294,                 1.2031,             0.00094139,             0.00094139,             0.00094139
                      2,                 1.3018,                 1.5538,                 1.1682,                0.51728,                0.44152,                0.49747,                0.30661,                 1.1727,                 1.5205,                 1.1358,              0.0013989,              0.0013989,              0.0013989
                      3,                 1.2993,                 1.4444,                  1.161,                0.49739,                0.46347,                 0.4688,                0.27852,                 1.2408,                 1.4256,                 1.1283,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.3028,                 1.3058,                  1.133,                0.86647,                0.43524,                 0.5522,                0.32562,                 1.2177,                 1.2912,                 1.1184,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2867,                 1.2291,                 1.1494,                0.64747,                0.53355,                0.56426,                0.34215,                 1.1807,                 1.1863,                 1.1065,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2433,                 1.1286,                 1.1121,                0.59626,                0.51048,                0.54322,                0.31687,                 1.1798,                 1.0505,                 1.0937,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2489,                 1.1312,                 1.1067,                0.52892,                0.55111,                0.54957,                 0.3327,                 1.1875,                 1.0176,                 1.1127,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2118,                 1.0969,                 1.1104,                  0.584,                0.54964,                0.58986,                0.37172,                 1.1335,                  0.992,                 1.0868,                0.00133,                0.00133,                0.00133
                      9,                  1.209,                 1.0106,                 1.0843,                0.53679,                0.58209,                0.51134,                0.30963,                 1.1426,                 1.2498,                 1.0969,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2045,                 1.0105,                 1.1104,                0.60719,                0.58737,                0.57508,                0.34927,                 1.1475,                 1.2149,                 1.1049,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2083,                 1.0533,                 1.1115,                0.57323,                0.59037,                0.56983,                0.35033,                 1.1112,                 1.0149,                 1.0678,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.1922,                0.92242,                 1.0774,                0.62754,                0.61963,                0.61767,                0.38164,                 1.1524,                 0.9822,                 1.0937,              0.0012734,              0.0012734,              0.0012734
